Method,XGBoost,RF,Logit,STL
ARML,3.52E-07,2.68E-06,0.000104684,3.50E-06
ADALOSS,0.000633345,0.001959379,0.012229837,0.000606858
GRADNORM,0.007171658,0.021310311,0.107476696,0.006069434
OL_AUX,8.68E-14,4.28E-12,2.10E-08,9.32E-09
