Method,XGBoost,RF,Logit,STL
ARML,2.70E-02,1.54E-03,8.99E-02,5.40E-03
ADALOSS,8.76E-01,6.11E-01,4.29E-01,4.30E-01
GRADNORM,2.28E-04,6.11E-06,9.21E-04,5.58E-05
OL_AUX,7.00E-03,1.14E-04,2.88E-02,1.55E-03
